Region,Poblacion,ConfirmadosNotificados,TasaIncidenciaAcumulada
Arica y Parinacota ,252110 ,115 ,45.6 
Tarapaca ,382773 ,52 ,13.6 
Antofagasta ,691854 ,149 ,21.5 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,66 ,7.9 
Valparaiso ,1960170 ,273 ,13.9 
Metropolitana ,8125072 ,3803 ,46.8 
O'Higgins ,991063 ,48 ,4.8 
Maule ,1131939 ,141 ,12.5 
Nuble ,511551 ,618 ,120.8 
Biobio ,1663696 ,443 ,26.6 
Araucania ,1014343 ,749 ,73.8 
Los Rios ,405835 ,135 ,33.3 
Los Lagos ,891440 ,379 ,42.5 
Aisen ,107297 ,6 ,5.6 
Magallanes ,178362 ,336 ,188.4 
Por determinar ,- ,86 ,
Total pais ,19458310 ,7412 ,38.1 
