000,0,3,12,512310
0 0 0 ,1 ,1 ,0 ,0 1 1 2 0 0 
O 0 0 ,0 ,0 ,0 ,0 0 0 0 0 0 
0 0 0 ,0 ,0 ,0 ,0 0 0 1 0 0 
0 0 0 ,0 ,0 ,0 ,0 0 0 0 0 0 
0 0 0 ,0 ,1 ,0 ,0 0 0 0 0 0 
0 0 0 ,0 ,2 ,3 ,0 4 6 1 3 0 
0 0 0 ,0 ,1 ,9 ,2 6 7 2 5 0 
0 0 0 ,0 ,2 ,4 ,0 3 0 0 0 0 
0 1 5 ,79 ,141 ,117 ,60 43 33 46 44 0 
