PuertoVaras,48620,17,35.0,7,14.4,7,14.4,0O1O23,200,O045
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O O 0 ,O 0 O ,0 O O 0 
Purranque ,21080 ,58 ,275.1 ,26 ,123.3 ,26 ,123.3 ,O O O 0 3 12 ,5 1 2 ,3 1 5 9 
Puyehue ,11787 ,7 ,59.4 ,O ,0.0 ,0 ,0.0 ,O O O O 1 1 ,1 1 1 ,2 O O 0 
Queilen ,5543 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O O 0 ,O O O ,O O O O 
Quellon ,29309 ,1 ,3.4 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 O O ,O 0 O ,1 0 O O 
Quemchi ,8783 ,6 ,68.3 ,4 ,45.5 ,4 ,45.5 ,O O O O O 0 ,O O O ,O O 2 4 
Quinchao ,8298 ,1 ,12.1 ,O ,0.0 ,0 ,0.0 ,O O O 0 1 O ,O O O ,O O O O 
Rio Negro ,14275 ,32 ,224.2 ,6 ,42.0 ,6 ,42.0 ,0 O O 1 2 3 ,O 4 6 ,1 4 5 4 
San Juan de la Costa ,7639 ,34 ,445.1 ,O ,0.0 ,O ,0.0 ,O O 0 O 1 9 ,2 6 7 ,2 5 2 0 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,1 ,9.5 ,O O O 0 2 4 ,O 3 O ,O 0 2 1 
Total ,891440 ,796 ,89.3 ,137 ,15.4 ,136 ,15.3 ,0 1 5 79 142 117 ,60 43 33 ,50 61 79 98 
