Penco,&49865,905,1814.9,166,332.9,164,328.9
Quilaco ,4179 ,28 ,670.0 ,1 ,23.9 ,1 ,23.9 
Quilleco ,10032 ,86 ,857.3 ,8 ,79.7 ,8 ,79.7 
San Pedro de la Paz ,& 145906 ,1390 ,952.7 ,180 ,123.4 ,180 ,123.4 
San Rosendo ,3611 ,37 ,1024.6 ,1 ,27.7 ,1 ,27.7 
Santa Barbara ,14592 ,189 ,1295.2 ,17 ,116.5 ,17 ,116.5 
Santa Juana ,14779 ,123 ,832.3 ,23 ,155.6 ,23 ,155.6 
Talcahuano ,& 158345 ,2156 ,1361.6 ,363 ,229.2 ,359 ,226.7 
Tirua ,11019 ,44 ,399.3 ,2 ,18.2 ,2 ,18.2 
Tome ,& 58729 ,838 ,1426.9 ,153 ,260.5 ,153 ,260.5 
Tucapel ,& 15205 ,172 ,1131.2 ,5 ,32.9 ,5 ,32.9 
Yumbel ,22132 ,246 ,1111.5 ,5 ,22.6 ,5 ,22.6 
Desconocido ,& - ,201 ,- ,45 ,- ,45 ,- 
Total ,1663696 ,18735 ,1126.1 ,2750 ,165.3 ,2739 ,164.6 
