Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,0 ,0.0 ,1 ,6.6 ,1 ,6.6 
La Union ,39538 ,107 ,270.6 ,3 ,7.6 ,3 ,7.6 ,3 ,7.6 
Lago Ranco ,10292 ,8 ,77.7 ,0 ,0.0 ,1 ,9.7 ,1 ,9.7 
Lanco ,17652 ,32 ,181.3 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
LOs Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,0 ,0.0 ,0 ,0.0 
Mafil ,7389 ,35 ,473.7 ,0 ,0.0 ,6 ,81.2 ,6 ,81.2 
Mariquina ,23250 ,38 ,163.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Paillaco ,20798 ,38 ,182.7 ,1 ,4.8 ,O ,0.0 ,0 ,0.0 
Panguipulli ,35991 ,70 ,194.5 ,1 ,2.8 ,4 ,11.1 ,4 ,11.1 
Rio Bueno ,32925 ,59 ,179.2 ,0 ,0.0 ,14 ,42.5 ,14 ,42.5 
Valdivia ,& 176774 ,524 ,296.4 ,7 ,4.0 ,49 ,27.7 ,49 ,27.7 
Desconocido ,& - ,7 ,- ,O ,- ,1 ,- ,1 ,- 
Total ,405835 ,1069 ,263.4 ,13 ,3.2 ,79 ,19.5 ,79 ,19.5 
