21-abr,464,11296
22-abr ,516 ,11812 
23-abr ,494 ,12306 
24-abr ,552 ,12858 
25-abr ,473 ,13331 
26-abr ,482 ,13813 
27-abr ,552 ,14365 
28-abr ,770 ,15135 
29-abr ,888 ,16023 
30-abr ,985 ,17008 
01-may ,1427 ,18435 
02-may ,1228 ,19663 
03-may ,980 ,20643 
04-may ,1373 ,22016 
05-may ,1032 ,23048 
06-may ,1533 ,24581 
07-may ,1391 ,25972 
08-may ,1247 ,27220 
09-may ,1647 ,28866 
10-may ,1197 ,30063 
11-may ,1643 ,31721 
12-may ,2660 ,34381 
13-may ,2659 ,37040 
14-may ,2502 ,39542 
15-may ,1886 ,41428 
16-may ,2353 ,43781 
17-may ,2278 ,46059 
18-may ,3520 ,49579 
19-may ,4038 ,53617 
20-may ,3964 ,57581 
21-may ,4276 ,61857 
22-may ,3536 ,65393 
23-may ,3709 ,69102 
24-may ,4895 ,73997 
25-may ,3964 ,77961 
26-may ,4328 ,82289 
27-may ,4654 ,86943 
28-may ,3695 ,90638 
29-may ,4220 ,94858 
30-may ,4830 ,99688 
31-may ,5471 ,105159 
01-jun ,3257 ,108686 
02-jun ,4942 ,113628 
03-jun ,4664 ,118292 
