,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,12 ,75 ,1.26% ,O 
Tarapaca ,3 ,29 ,0.49% ,O 
Antofagasta ,15 ,92 ,1.54% ,1 
Atacama ,2 ,10 ,0.17% ,O 
Coquimbo ,5 ,61 ,1.02% ,O 
Valparaiso ,5 ,230 ,3.85% ,2 
Metropolitana ,284 ,2832 ,47.42% ,21 
Libertador Bernardo O'Higgins ,1 ,44 ,0.74% ,O 
Maule ,9 ,128 ,2.14% ,2 
Nuble ,10 ,571 ,9.56% ,6 
Biobio ,21 ,460 ,7.70% ,2 
Araucania ,20 ,689 ,11.54% ,16 
De los Rios ,4 ,118 ,1.98% ,2 
De los Lagos ,15 ,340 ,5.69% ,2 
Aysen ,O ,7 ,0.12% ,O 
Magallanes ,20 ,286 ,4.79% ,3 
,426 ,5972 ,100% ,57 
